Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4; HMC Ailesbury, 249-61",Brand letters MSS A,Brand letters MSS A,,2,
"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4; to his sister Susan Brand (later Mrs Carr); CUL, Add.8670/1-40",Brand letters MSS C,Brand letters MSS C,,10,
"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4; to the Rev Robert Wharton; Durham U. Lib., Wharton MSS",Brand letters MSS D,Brand letters MSS D,,8,
"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4; to Mrs Carr with one to the Rev J. Hall (12 Sep.1791) and one to the Rev Mr Carr (18 Jun.1791); NLS, Brand MSS, acc.10061",Brand letters MSS E,Brand letters MSS E,,7,
"J. Kenworthy-Browne, 'Matthew Brettingham's Rome Account Book 1747-54: Wal.Soc., 49[1983]: 37-132",Brettingham 1983,Brettingham 1983,,4,
"H. Brigstocke, William Buchanan and the 19th century Art Trade [1982] ","Brigstocke, Buchanan","Brigstocke, Buchanan",,2,
"G.P. Brizzi, 'La pratica del viaggio d'istruzione in Italia nel Sei- Settecento', Annali dell' Istituto storico italo-germanico in Trento, 2[1976]: 203-91 ",Brizzi 1976,Brizzi 1976,,6,
"Southampton U., Hartley Lib., MS 62 [contents of the archive is described in Connell 1957, 466-73]",Broadlands MSS,Broadlands MSS,,21,
"N. Brooke, Observations on the Manners and Customs of Italy [1798]","Brooke, Observations","Brooke, Observations",,10,
"H.F. Brown, Inglesi e Scozzesi all' Universita di Padova dall' anno 1618 sino al 1765 [1921] ",Brown 1921,Brown 1921,,640,
"W. Buchanan, Memoirs of Painting, 2 vols. [1824]",Buchanan 1824,Buchanan 1824,,7,
Burghley House ,Burghley MSS,Burghley MSS,,2,
"Correspondence of the Rt.Hon. Edmund Burke, ed. Earl Fitzwilliam, and Sir R. Bourke, 4 vols. [1844] ",Burke Corr.,Burke Corr.,,2,
The Burlington Magazine,Burl.Mag.,Burl.Mag.,,87,
"C. Burney, The Present State of Music in France and Italy: or, the Journal of a Tour through those Countries, undertaken to collect Materials for a General History of Music [2nd ed. 1773] ","Burney, Tour","Burney, Tour",,20,
"H. Gordon Slade, 'James Byres of Tonley 1734-1817, The Aberdeen Years', Deeside Field,19[1987]:130-39",Byres 1987,Byres 1987,,6,
"D. Ridgway, 'James Byres and the ancient State of Italy: unpublished documents in Edinburgh', Istituto di studi Etruschi e Italici, secondo congresso internazioriale Etrusco, Atti, 1:213-29",Byres 1989,Byres 1989,,2,
"letters from James Byres in Rome to William Constable 1766-74; Humberside Co. Archives, Beverley; Chichester-Constable MSS, DD/CC/145/6 ",Byres letters MSS C,Byres letters MSS C,,31,
"letters from James Byres in Rome to Philip Yorke 1779-84; PRO NI, Caledon Castle Mss, 0433/69/ ",Byres letters MSS Y,Byres letters MSS Y,,7,
"business papers of Patrick Moir acting for James Byres; includes May 1790 inventory of Byres's house in Rome; NLS, Moir/Byres MSS, deposit 184B",Byres MSS,Byres MSS,,24,
"letters from Francis Canning in Italy 1793; Glos.RO, Gloucester, D2857/2/16 ",Canning letters MSS,Canning letters MSS,,,
"correspondence of Antonio Canova; Biblioteca Civica, Bassano del Grappa",Canoviani MSS,Canoviani MSS,,,
"letters from Henry Carr in Italy 1739-40, and from John and Harriet Carr in Italy 1791-4; Northumb. RO, Newcastle, Carr-Ellison MSS, 855/B4 ",Carr letters MSS,Carr letters MSS,,,
Mrs Mary Carter's Letters [1860],Carter Letters,Carter Letters,,,
"correspondence of 1st Baron Cawdor; Carmarthen RO, Cawdor MSS, box 129 ",Cawdor MSS,Cawdor MSS,,,
"G.E. C[okayne], Complete Baronetage ",CB,CB,,,
"W.H. Chaloner, 'The Egertons in Italy and the Netherlands, 1729-34. With two unpublished letters from Joseph Smith, sometime H.M. Consul at Venice', Bull.of the John Rylands Lib., 32[1950] :157-70 ",Chaloner 1950,Chaloner 1950,,,
RIA,Charlemont MSS,Charlemont MSS,,,
"Chesterfield (4th Earl of), Letters, ed. B. Dobrée, 6 vols. [1932] ","Chesterfield, Letters","Chesterfield, Letters",,,
"Humphrey Chetham's Journal 1702-12; Chetham Library, Manchester, Chetham MSS, no.8",Chetham jnl.MSS,Chetham jnl.MSS,,,
"Humberside Co.Archives, Beverley",Chichester-Constable MSS,Chichester-Constable MSS,,,
Country Life,CL,CL,,,
"A.M. Clark, ed. E.P. Bowron, Pompeo Batoni [1985] [ref. to cat.nos.]",Clark/Bowron,Clark/Bowron,,,
"Rev W. Otter, The Life and Remains of Edward Daniel Clarke, 2 vols. [1825] ","Clarke, Life","Clarke, Life",,,
"SRO, GD 18; correspondence of Alexander and Sir John Clerk 1733-7 (4564), letters from Robert Adam 1754-7 (4745-4839), James Adam 1760-63 (4861-4957), and John Clerk 1768-70 (5494) ",Clerk of Penicuik MSS,Clerk of Penicuik MSS,,,
"journal of James Clitherow in Italy 1789-90, formerly coll. F.J.B. Watson ",Clitherow jnl.MSS,Clitherow jnl.MSS,,,
"journal of Capt.William Cochrane in Italy 1794-6; Edinburgh U.Lib., Laing MSS 792",Cochrane jnl.MSS,Cochrane jnl.MSS,,,
account book of Thomas Coke's expenses 1714-18 kept by Edward Jarrett; Holkham MS 733 and 734,Coke accts.MSS,Coke accts.MSS,,,
"Lady Mary Coke, Letters and Journals, 1756-74, 4 vols.[1889-96]",Coke Letters,Coke Letters,,,
"Christian Cole, Historical and Political Memoirs [ 1735] ","Cole, Memoirs","Cole, Memoirs",,,
"The History of Parliament. The House of Commons 1715-54, ed. R. Sedgwick, 2 vols. [1970]",Commons 1,Commons 1,,,
"The History of Parliament. The House of Commons 1754-90, ed. L. Namier and J. Brooke, 3 vols. [1964]",Commons 2,Commons 2,,,
"The History of Parliament. The House of Commons 1790-1820, ed. R.G. Thorne, 5 vols. [1986]",Commons 3,Commons 3,,,
"Castle Ashby, Northants",Compton MSS,Compton MSS,,,
"B. Connell, Portrait of a Whig Peer, compiled from the papers of the Second Viscount Palmerston 1739-1802 [1957] ",Connell 1957,Connell 1957,,,
"W.G. Constable, John Flaxman [1927]","Constable, Flaxman","Constable, Flaxman",,,
"W.G. Constable, Richard Wilson [1953]","Constable, Wilson","Constable, Wilson",,,
"W.G. Constable, J.G. Links, Canaletto, 2 vols. [1976] ",Contstable-Links,Contstable-Links,,,
"Letters and Papers of John Singleton Copley and Henry Pelham 1739-76, Mass.Hist.Soc. [1914] ","Copley, Letters","Copley, Letters",,,
"Letters from Italy in the years 1754 and 1755, by the late right Honourable John Earl of Corke and Orrery [1773] ",Cork Letters,Cork Letters,,,
"journal of John Cotes in Italy 1772; Pitchford MSS, priv.coll.",Cotes jnl.MSS,Cotes jnl.MSS,,,
"La Cour des Stuarts à Saint- Germain-en-Laye au temps de Louis XIV, exh.cat., Saint-Germain-en-Laye [1992] ",Cour de Stuarts 1992,Cour de Stuarts 1992,,,
"Coutts Bank, London; MSS letter books ",Coutts ledgers,Coutts ledgers,,,
"journal of Peter Cowling in Italy 1786; CUL, Palmer MSS, C/4 (original), C/5 (fair copy with sketches and later notes) ",Cowling jnl.MSS,Cowling jnl.MSS,,,
"G.E.C[okayne], The Complete Peerage",CP,CP,,,
"L.Cust, History of the Society of Dilettanti [1898]",Cust,Cust,,,
Dictionary of American Biography ,DAB,DAB,,,
"NLS, acc.7228",Dalrymple of Newhailes MSS,Dalrymple of Newhailes MSS,,,
"journal of William Danby in Italy 1788-9; N. Yorks.RO, Northallerton, ZS [microfilm no.2291, frames 2819-77] ",Danby jnl.MSS,Danby jnl.MSS,,,
"letters from George and Nathaniel Dance in Italy 1760-63 to their family; RIBA, MSS DA FAM/1/3. ",Dance letters MSS,Dance letters MSS,,,
"H. Colvin, Dictionary of British Architects [3rd ed. 1995]",DBA,DBA,,,
"R. Gunnis, Dictionary of British Sculptors [rev. ed. 1968]",DBS,DBS,,,
"Président Charles de Brosses, Lettres familières écrites d'Italie en 1739 et 1740 [1880] ",de Brosses 1880,de Brosses 1880,,,
"J.Dennistoun, Memoirs of Sir Robert Strange ... and ... Andrew Lumisden, 2 vols. [1855]",Dennistoun,Dennistoun,,,
"journal of Thomas de Grey in Italy 1770-71; Norfolk RO, Norwich, Walsingham (Merton) coll., LXX/3 ",de Grey jnl.MSS,de Grey jnl.MSS,,,
"list of people met in Italy 1770-71 by Thomas de Grey; Norfolk RO, Norwich, Walsingham (Merton) coll., LVIII/2 ",de Grey list MSS,de Grey list MSS,,,
"Notizie dei due secoli XVIII e XIX spettanti alla citta di Vicenza raccolte da me Giuseppe Dian; Biblioteca Bertoliana, Vicenza, MS. Ganz.20.10.2 (2959) ",Dian,Dian,,,
newspaper of Rome; BAV ,Diario Ordinario,Diario Ordinario,,,
[Sir] John Dick correspondence; priv.coll. (notes taken by RBF 1967) ,Dick corr. MSS,Dick corr.MSS,,,
letters from Kenelm Digby on his grand tour 1789-90 to his  brother Wriothesley; lent to Birmingham Ref.Lib. [1971] ,Digby letters MSS,Digby letters MSS,,,
"Society of Dilettanti MSS, deposited with the Society of Antiquaries, London ",Dilettanti MSS,Dilettanti MSS,,,
Dictionary of National Biography ,DNB,DNB,,,
"account of a tour in Italy 1750-52 by Francis Drake (1721--95); Magd.Oxf., MSS 246, 247",Drake jnl. MSS,Drake jnl.MSS,,,
"letters from William Drake jr. in Italy to his family, Sep.1768- Oct.1769; Bucks RO, Aylesbury, D/DR/8/2; and letters from Dr Townson to William Drake sr., Oct.1768-Sep.1769; D/DR/8/3 ",Drake letters MSS,Drake letters MSS,,,
"A. Drummond, Travels through different cities of Germany, Italy, Greece, & several parts of Asia as far as the Euphrates: in a series of letters [1754] ","Drummond, Travels","Drummond, Travels",,,
"P.dlR. du Prey, John Soane's Architectural Education [1977]","du Prey, Soane 1977","du Prey, Soane 1977",,,
"P.dlR. du Prey, John Soane, the making of an Architect [1982]","du Prey, Soane 1982","du Prey, Soane 1982",,,
"[L. Du tens], Memoirs of a Traveller, now in retirement. written by himself, interspersed with Historical, Literary, and Political Anecdotes relative to Many of the Principal Personages of the present age. Translated from the French, under the supervision of the author, 5 vols. [1806] ","Dutens, Memoirs","Dutens, Memoirs",,,
"E. Edwards, Anecdotes of Painters ... in England [1808]",Edwards 1808,Edwards 1808,,,
"Lord Elcho [David Wemyss], Short Account of the Affairs of Scotland 1744, 1745, 1746, ed. E. Charteris [ 1907] ","Elcho, Short Account","Elcho, Short Account",,,
"Life and Letters of Sir Gilbert Elliot from 1751 to 1806, ed. Countess of Minto, 3 vols. [1874]",Elliot Letters,Elliot Letters,,,
Gateshead Central Lib.,Elliot MSS,Elliot MSS,,,
"H. von Erffa and A. Staley, The Paintings of Benjamin West [1986] ",Erffa/Staley,Erffa/Staley,,,
"The Diary of Joseph Farington 1793-1821, 16 vols., ed. K. Garlick and A. Macintyre (1-6), K. Cave (7-16) [1978-84] ",Farington Diary,Farington Diary,,,
"journal of Sir William Farington on a continental tour 1765; Lancs. RO, Preston, Farington MSS, DDF/14",Farington jnl.MSS,Farington jnl.MSS,,,
"Leics. RO, Leicester ",Finch MSS,Finch MSS,,,
"letters from 7th Earl of Findlater and Seafield in Italy 1771-3 to his mother; SRO, Seafield MSS, GD 248/567/94 ",Findlater letters MSS,Findlater letters MSS,,,
"B.Fitzgerald, Emily, Duchess of Leinster [1949]",Fitzgerald 1949,Fitzgerald 1949,,,
"correspondence of 3rd Duke of Grafton; Suffolk RO, Bury St Edmunds, acc.no.423, part iv",Fitzroy MSS,Fitzroy MSS,,,
"Mrs Flaxman's diary in Italy 1787-8; BL, Add.39787 ",Mrs Flaxman jnl. MSS 1,Mrs Flaxman jnl.MSS 1,,,
"Mrs Flaxman's diary in Italy 1791-4; BL, Add.39792",Mrs Flaxman jnl. MSS 2,Mrs Flaxman jnl.MSS 2,,,
"J.Fleming, Robert Adam and his Circle in Edinburgh and Rome [1962]","Fleming, Adam","Fleming, Adam",,,
"Martin Folkes journal in Italy, 15 Jun.-12 Nov. 1733; Bodl., MS Eng Misc c.444 ",Folkes jnl. MSS,Folkes jnl.MSS,,,
family letters concerning Anne Forbes in Italy 1767-71; priv. coll. 1960 ,Forbes MSS,Forbes MSS,,,
"journal of Sir William Forbes in Italy 1792-3; NLS, Forbes MSS 1539-45 ",Forbes jnl.MSS,Forbes jnl.MSS,,,
"J.Foster, Alumni Oxonienses 1500-1714, 4 vols. [1891-92]",Foster,J.Foster,,,
"J.Foster, Alumni Oxonienses 1500-1714, 4 vols. [1891-92]",Foster,J. Foster,,,
"B. Fothergill, Sir William Hamilton [1969]",Fothergill 1969,Fothergill 1969,,,
"B. Fothergill,The Mitred Earl [1974]",Fothergill 1974,Fothergill 1974,,,
"Memorials and Correspondence of Charles James Fox, ed. Lord John Russell, 4 vols. [1853-7] ","Fox, Mem. and Corr.","Fox, Mem. and Corr.",,,
"journal of Sir Philip Francis in Italy 1772; BL, Add.40759 ",Francis jnl.MSS,Francis jnl.MSS,,,
"journal of William Freeman in Italy 1728-9; BL, Add.36249,ff2-246 ",Freeman jnl.MSS,Freeman jnl.MSS,,,
"notebook of Sambrooke Freeman for his Italian tour 1744-76; Glos.RO, Gloucester, D1245/FF38/D9",Freeman notebk. MSS,Freeman notebk.MSS,,,
"Nancy L. Pressly, The Fuseli Circle in Rome, Early Romantic Art of the 1770s, exh.cat., YCBA [1979] ",Fuseli Circle 1979,Fuseli Circle 1979,,,
"G. Gabrieli, Lido di oggi Lido di allora [1991]",Gabrieli 1991,Gabrieli 1991,,,
"correspondence of Alessandro Galilei; ASP, Carte Galilei ","Galilei, cart.","Galilei, cart.",,,
"J.Galt, The Life, Studies and Works of Benjamin West, in two parts [1820]","Galt, West","Galt, West",,,
"letters to his parents from J.M. Gandy in Italy 1794-7; typed transcript, RIBA, Gandy Family MSS, box 1 ",Gandy letters MSS,Gandy letters MSS,,,
"Lord Gardenstone [Francis Garden], Travelling Memorandums made in a Tour upon the continent of Europe the years 1786, '87 & '88, 3 vols. [1791-5]",Gardenstone 1791-5,Gardenstone 1791-5,,,
"The Letters of David Garrick, ed. D.M. Little and G.M. Kahrl, 3 vols. [1963]",Garrick Letters,Garrick Letters,,,
"Private Correspondence of David Garrick, ed. J. Boaden, 2 vols. [1831-2]",Garrick Priv.Corr.,Garrick Priv.Corr.,,,
"Edward Gascoigne, travel journal 1724-6; West Yorks Archive Service, Leeds, GC/F6/7, 12 a-c",Gascoigne jnl. MSS,Gascoigne jnl.MSS,,,
Gazzetta Toscana ,Gazz.Tosc.,Gazz. Tosc.,,,
"correspondence 1776-9 between British consuls in Genoa (J. Holford, J. Brame and, principally, J. Collett) with W. Poyntz, sec. in Turin; priv. coll.",Genoa cons.corr. MSS,Genoa cons.corr.MSS,,,
"Elizabeth Gibbes journal in Italy 1789-90; PRO, Colchester MSS, 30/9/7",Gibbes jnl. MSS ,Gibbes jnl.MSS ,,,
"Gibbon's Journey from Geneva to Rome, His Journal from 20 April to 2 October 1764, ed. G. Bonnard [1961]",Gibbon Journey,Gibbon Journey,,,
"The Letters of Edward Gibbon, ed. J.E. Norton, 3 vols. [1956] ",Gibbon Letters,Gibbon Letters,,,
"E. Gibbon, Miscellaneous Works, ed. Lord Sheffield, 5 vols. [1814]","Gibbon, Misc.Works","Gibbon, Misc.Works",,,
"E. Gibson, 'The Royal Academy of Music (1719-28) and its Directors' in S. Sadie & A. Hicks ed., Handel: A Tercentenary Collection [1987] ",Gibson 1987,Gibson 1987,,,
"E. Gibson, The Royal Academy of Music 1719-1720, The Institution and Its Directors [1989]",Gibson 1989,Gibson 1989,,,
Gentleman's Magazine,GM,GM,,,
"Pryse Lockhart Gordon, Personal Memoirs or Reminiscences of Men and Manners, 2 vols. [1830] ","Gordon, Personal Memoirs","Gordon, Personal Memoirs",,,
"M.H. Grant, A Chronological History of the Old English Landscape Painters, 8 vols.[1957-61] ",Grant 1957-61,Grant 1957-61,,,
"Lord Granville Leveson Gower (first Earl Granville) Private Corresponence 1781 to 1821, ed. Castalia, Countess Granville, 2 vols. [1916]",Granville Letters,Granville Letters,,,
"Correspondence of Thomas Gray, ed. P. Toynbee and L. Whibley, 3 vols. [1935]",Gray Letters,Gray Letters,,,
"The Grenville Papers being the correspondence of Richard Grenville Earl Temple and the Rt. Hon. George Grenville their friends and contemporaries, ed. W.J. Smith, 4 vols.[1853]",Grenville Papers,Grenville Papers,,,
"journal of Lord Grey de Wilton in Italy 1784-5; priv.coll., on loan Manchester AG",Grey jnl. MSS 1,Grey jnl.MSS 1,,,
"notebook and account book of Lord Grey de Wilton in Italy 1787-8; Greater Manchester CRO, Wilton MSS, E4 ",Grey jnl. MSS 2,Grey jnl.MSS 2,,,
"letters from Robert Grimston in Italy 1767-8 to his guardian John Grimston; Humberside Co. Archives, Beverley, DDGR/4",Grimston letters MSS,Grimston letters MSS,,,
The New Grove Dictionary of Music and Musicians [1980],Grove 1980,Grove 1980,,,
"incomplete travel journals of Sir James Hall, in Italy 1784-5, 5 vols; NLS, MSS 6324-8 (notes from H.G. Belsey in RBF) ",Hall jnl. MSS,Hall jnl.MSS,,,
"A.H. Smith, 'Gavin Hamilton's Letters to Charles Townley', Jnl. of Hellenic Studies, 21 [1901]:306-21",Hamilton 1901,Hamilton 1901,,,
"F.D. Cullen, 'The Oil Paintings of Hugh Douglas Hamilton', Wal.Soc., 50[1984]:165-208 ",Hamilton 1984,Hamilton 1984,,,
"SRO, GD 110",Hamilton Dalrymple MSS,Hamilton Dalrymple MSS,,,
Sir Charles Hanbury Williams papers; WSL,Hanbury Williams MSS,Hanbury Williams MSS,,,
"letters from 2nd Viscount Harcourt on his grand tour 1754-6 to his sister, Lady Elizabeth Lee; Bucks RO, Aylesbury, AR 28/60L",Harcourt letters MSS,Harcourt letters MSS,,,
"The Harcourt Papers, ed. E.W. Harcourt, 14 vols. [1880-1905]",Harcourt Papers,Harcourt Papers,,,
journal of Thomas Hardwick describing two journeys from Rome to Naples in 1778; RIBA,Hardwick jnl. MSS,Hardwick jnl.MSS,,,
"journal of Robert Harvey in Italy 1773-4; Norfolk CRO, Norwich, MS 20677, T 140B",Harvey jnl. MSS,Harvey jnl.MSS,,,
"F. Haskell and N. Penny, Taste and the Antique [1981]",Haskell and Penny,Haskell and Penny,,,
"L. Stainton, 'Hayward's List: British Visitors to Rome 1753-1775', Wal.Soc., 49[1983]:3-36",Hayward List,Hayward List,,,
"Augustus Hervey's Journal, ed. D. Erskine [1954]",Hervey (Aug.) Jnl.,Hervey (Aug.) Jnl.,,,
"The Diary of John Hervey, first Earl of Bristol, with extracts from his book of expenses 1688 to 1742 [1894]",Hervey (Jn.) Jnl. ,Hervey (Jn.) Jnl. ,,,
"Journals of the Hon. William Hervey', Suffolk Green Books, 14, XVI [1906]",Hervey (Wm.) Jnl.,Hervey (Wm.) Jnl.,,,
"T.W.I. Hodgkinson, 'Christopher Hewetson, an Irish Sculptor in Rome', Wal.Soc., 34[1958]:42-54",Hewetson 1958,Hewetson 1958,,,
"B. de Breffny, 'Christopher Hewetson', Irish Arts Review, 3.3[1986]:52-75 ",Hewetson 1986,Hewetson 1986,,,
"travel diary of Sir Robert Hildyard in France and Itay 1765-7; Humberside Co. Archives, Beverley, Hildyard deposit",Hildyard jnl. MSS,Hildyard jnl.MSS,,,
"letters from John Hinchliffe in Italy 1761-2; PRO NI, DOD 638/114/1,2,3,4",Hinchliffe letters MSS,Hinchliffe letters MSS,,,
"Italian correspondence of John Coxe Hippisley 1793-5; priv. coll [seven MSS vols.: Roman corr. 1793-5 (2 vols.); corr. with Cardinals Campanelli and de Zelada (2 vols.); Corrispondenza Miscellanea, and two vols. dealing with refugees from Toulon and the Republic of S.Marino] ",Hippisley corr. MSS,Hippisley corr.MSS,,,
Historical Manuscripts Commission 5th Rpt,HMC 5th Rpt,HMC 5th Rpt,,,
Historical Manuscripts Commission 8th Rpt.,HMC 8th Rpt.,HMC 8th Rpt.,,,
Historical Manuscripts Commission 10th Rpt.,HMC 10th Rpt.,HMC 10th Rpt.,,,
Historical Manuscripts Commission 14th Rpt.,HMC 14th Rpt.,HMC 14th Rpt.,,,
Historical Manuscripts Commission 15th Rpt.,HMC 15th Rpt.,HMC 15th Rpt.,,,
Historical Manuscripts Commission Ailesbury,HMC Ailesbury,HMC Ailesbury,,,
Historical Manuscripts Commission Bath,HMC Bath,HMC Bath,,,
Historical Manuscripts Commission Buccleuch,HMC Buccleuch,HMC Buccleuch,,,
Historical Manuscripts Commission Carlisle,HMC Carlisle,HMC Carlisle,,,
Historical Manuscripts Commission Cathcart,HMC Cathcart,HMC Cathcart,,,
Historical Manuscripts Commission Charlemont,HMC Charlemont,HMC Charlemont,,,
Historical Manuscripts Commission Cowper,HMC Cowper,HMC Cowper,,,
Historical Manuscripts Commission Dartmouth,HMC Dartmouth,HMC Dartmouth,,,
Historical Manuscripts Commission Denbigh,HMC Denbigh,HMC Denbigh,,,
Historical Manuscripts Commission Egmont,HMC Egmont,HMC Egmont,,,
Historical Manuscripts Commission Egmont Diary,HMC Egmont Diary,HMC Egmont Diary,,,
Historical Manuscripts Commission Egremont,HMC Egremont,HMC Egremont,,,
Historical Manuscripts Commission Frankland-Russell-Astley,HMC Frankland-Russell-Astley,HMC Frankland-Russell-Astley,,,
Historical Manuscripts Commission Fortescue,HMC Fortescue,HMC Fortescue,,,
Historical Manuscripts Commission Hastings,HMC Hastings,HMC Hastings,,,
Historical Manuscripts Commission Huntingdon,HMC Huntingdon,HMC Huntingdon,,,
Historical Manuscripts Commission Laing,HMC Laing,HMC Laing,,,
Historical Manuscripts Commission Leyborne-Popham,HMC Leyborne-Popham,HMC Leyborne-Popham,,,
Historical Manuscripts Commission Lothian,HMC Lothian,HMC Lothian,,,
Historical Manuscripts Commission Polwarth,HMC Polwarth,HMC Polwarth,,,
Historical Manuscripts Commission Portland,HMC Portland,HMC Portland,,,
Historical Manuscripts Commission Rutland,HMC Rutland,HMC Rutland,,,
Historical Manuscripts Commission Sackville,HMC Sackville,HMC Sackville,,,
Historical Manuscripts Commission Var.Colls,HMC Var.Colls,HMC Var.Colls,,,
"Calendar of the Stuart Papers belonging to His Majesty the King preserved at Windsor Castle, 7 vols. [1902-23]",HMC Stuart,HMC/Stuart,,,
"The Journal of Elizabeth Lady Holland (1791-1811), ed. Earl of Ilchester, 2 vols. [1908]",Holland Jnl.,Holland Jnl.,,,
"letters to his family from John Baker Holroyd in Italy 1764-5; BL, Add.34887,ff.122-88. ",Holroyd letters MSS,Holroyd letters MSS,,,
"G. Holt, The English Jesuits 1650-1329, a biographical dictionary, Catholic Record Soc. [1984]",Holt 1984,Holt 1984,,,
"journal 1771-2 of Jane Graham (from May 1771 Mrs Patrick Home); SRO, Home of Wedderburn MSS, GD 267/33/1",Home (Mrs Jane) jnl. MSS,Home (Mrs Jane) jnl.MSS,,,
